N/L,NOMBRE_EMPRESA,DIRECCION,COLONIA,CP,TELEFONO,JEFE_INMEDIATO,CORREO,PUESTO,TIPO,GIRO,,,,,,
20,PAPELERIA MI MARIA,PLAYA DE LOS MOCHIS 581-A,PRADERAS DEL PACIFICO,32674,6561749898,FERNANDO D. ESTALA,N/A,DUEÑO,PRIVADA,COMERCIAL,,,,,,
21,IMPRENTA Y PAPELERIA AZTECA,HUICHOLES 6806,AZTECAS,32280,6566563932,ROSALINDA VILLALPANDO MARTINEZ,N/A,DUEÑA,PRIVADA,COMERCIAL,,,,,,
22,ESCUELA PRIMARIA LUIS DONALDO COLOSIO MURRIETA,MANANTIAL DE LAS FLORES 924,LOS OJITOS,32295,6561738298,MANUEL BERNARDO AGUIRRE VALLE,N/A,DIRECTOR,PUBLICA,EDUCATIVO,,,,,,
23,LUBRIPOINT,MEXCALA 4583,GALEANA,32230,6568358661,JOSE ALEXIS RODRIGUEZ CASTRO,onerklower9@gmail.com,ENCARGADO,PRIVADA,COMERCIAL,,,,,,
24,VETERINARIA VIC-VET,OASIS REVOLUCION 1615-22,OASIS REVOLUCION,32674,6567942040,LUIS ADRIAN GONZALEZ GOMEX,adrianvet@outlook.es,DUEÑO,PRIVADA,COMERCIAL,,,,,,
25,WERNER LADDER DE MEXICO,TEGUCHI 251,PARQUE INDUSTRIAL NORTH GATE,32674,6566921700,TANIA LIZETH LUJAMBIO VALENCIA,tanluj64@gmail.com,JEFA DE GRUPO,PRIVADA,INDUSTRIAL,,,,,,
26,DISTRIBUCION INTERCERAMIC,PANAMERICANA 9370,PUENTE ALTO ,32645,6562741249,APOLINAR ACEVEDO ,vtasojju@interceramic.com,GERENTE,PRIVADA,COMERCIAL,,,,,,
27,VETERINARIA 2 AMIGOS,BARRANCO AZUL 1211,TORIBIO ORTEGA ,32675,6565669564,ISMAEL VELASCO SANCHEZ,izmo18@hotmail.com,DUEÑO,PRIVADA,COMERCIAL,,,,,,
28,MERCANTIL OCCIDENTAL,REFORMA 3130,REFORMA,32380,6566383482,GEMA MEDINA ,N/A,ENCARGADO,PRIVADA,COMERCIAL,,,,,,
29,CECATI 121,PUERTO MEXICO 2551,INDUSTRIAL,32270,6566100153,EMMANUEL DAVILA,cecati121.dir@dgctf.sem.gob.mx,COORDINADOR,PUBLICA,EDUCATIVO,,,,,,
30,WINE HOUSE ,AV. RAZA 6372-15,DEL FUTURO,32370,6566670238,CARLOS VELASQUEZ,N/A,ENCARGADO,PRIVADA,COMERCIAL,,,,,,
31,CENTRO DE SALUD GALEANA,CUICUILCO 220,GALEANA,32230,6566101841,CRISTINA CHAVIRA ,N/A,ENFERMERA,PUBLICA,SALUD,,,,,,
32,ESCUELA JOSE REYES ESTRADA,O. DE SENEGAL 9719,PRADERAS DE LOS OASIS,32563,6562295899,,N/A,DIRECTOR,PUBLICA,EDUCATIVO,,,,,,
33,PCS DE MAQUINADOS ,AV. VALENTIN FUENTES 3355,KM 5,32625,6564226846,HIPOLITO SONORA,polosonora.pcs@gmail.com,INGENIERO,PRIVADA,INDUSTRIAL,,,,,,
34,CENTRO COMUNITARIO DEL ESPIRITU SANTO,PAVO REAL 562,LOMAS DE MORELOS,32676,6566102066,YOLANDA UNZUETA,speret@hotmail.com,DIRECTORA,A.CIVIL,EDUCATIVO,,,,,,
35,ESCUELA PRIMARIA MEXICO 68,REVOLUCION PROLETARIADA S/N,MEXICO 68,32640,6564077534,MARIA DE LOURDES FUENTES,N/A,DIRECTORA,PUBLICA,EDUCATIVO,,,,,,
36,ESTANCIA INFANTIL JUAREZ GEMA ,AV. DE LOS DEPORTISTAS 7620,PARQUE INDUSTRIAL JUAREZ,32648,6566105579,CECILIA CONTRERAS RUIZ,N/A,ENCARGADO,PUBLICA,EDUCATIVO,,,,,,
37,TORTILLERIA YEYUS ,PROFA. CARMEN IBARRA 7703,INDEPENDENCIA II,32695,6563045039,ALEJANDRO RAMIREZ,aramirez11110479@gmail.com,ENCARGADO,PRIVADA,COMERCIAL,,,,,,
38,TRANSPORTE LYRMA ,DEL ROMERAL 1328,FRACC. LA PLAYA ,32310,6566164147,MARTHA LETICIA ESTRADA,N/A,ENCARGADO,PRIVADA,SERVICIOS,,,,,,
39,ESCUELA IGNACIO MANUEL ALTAMIRANO,MORELOS 460,LOMAS DE MORELOS,32670,6561308033,ERICA OBLE ACOSTA ,N/A,DIRECTOR,PUBLICA,EDUCATIVO,,,,,,
40,MANIOBRISTA AL SERVICIO DE TRANSPORTE ,PRIV. NICOLAS HERMOSILLO 420,1 DE SEPTIRMBRE,32676,65613684111,MARCELO SANTOS ,marsaz605@hotmail.com,JEFE DE AREA,PRIVADA,SERVICIOS,,,,,,
41,DESPONCHADORA MARTINEZ,FELIPE ANGELES 822,DIVISION DEL NORTE ,32670,6562392948,JOSE MARTINEZ RAMIREZ,raul91@outlook.com,ENCARGADO,PRIVADA,SERVICIOS,,,,,,
42,COBRE 29,BLVD. OSCAR FLORES 6750,PARQUE INDUSTRIAL,32685,6567109114,DANIEL SAENZ CARRASCO ,danielsaenz208@gmail.com,GERENTE,PRIVADA,COMERCIAL,,,,,,
43,FLACOS PC,NIEVES ACOSTA 98,CHAVEÑA,32240,6561105591,ARMANDO CHAVEZ,armandochavez274@gmail.com,PROPIETARIO,PRIVADA,COMERCIAL,,,,,,
44,BARBERIA FADED,FRANCISCO I. MADERO 3308,DIVISION DEL NORTE ,32670,6564122358,OMAR CARRERA ,N/A,ENCARGADO,PRIVADA,COMERCIAL,,,,,,
45,ABARROTES MAYELA ,MARIA EDME ALVAREZ 2912,INDEPENDENCIA II,32670,6563333855,MAYELA MARTINEZ,mayelama@gmail.com,DUEÑO,PRIVADA,COMERCIAL,,,,,,
46,DESAFIO JUAREZ,20 DE NOVIEMBRE 9503,LOS NOGALES,32340,6566252540,KAREN EDITH HONOSTROZA,kyomig@fcfn.org,ENCARGADO,PRIVADA,SERVICIOS,,,,,,
47,CLINICA REYES,AV. DE LOS AZTECAS 7660,INDEPENDENCIA II,32670,6561441140,JESUS MISAEL MURGADO,N/A,ENCARGADO,PRIVADA,SERVICIOS,,,,,,
48,DIGITAL TECH,BLVD. ZARAGOZA 179,CD. MODERNA,32670,6566315843,DANIEL ACOSTA GONZALES,N/A,JEFE,PRIVADA,COMERCIAL,,,,,,
49,TIENDA KOROMO,BENJAMIN FRANKLIN ,MARGARITAS,32620,6565656197,ARLYN RODARTE ORTIZ,koromo.shoppe@gmail.com,ENCARGADO,PRIVADA,COMERCIAL,,,,,,
50,REPARACION Y MANTENIMIENTO DE EQUIPO,ESPERANZA ROSALES 7503,INDEPENDENCIA II,32670,6566305160,DANIEL MARTINEZ,jaram.vaz@outlook.com,DUEÑO,PRIVADA,COMERCIAL,,,,,,
51,CIBER ESPACIO,VISTA OJO DE LA CASA S/N,LOS OJITOS,32295,6562861077,LUIS ALBERTO FARIAS T,N/A,DUEÑO,PRIVADA,COMERCIAL,,,,,,
52,GRUPOS ISSA DE JUAREZ S.A. DE C.V.,ARISTOTELES 207,MONUMENTAL,32310,6565586030,LAURA DIAZ,N/A,RECURSOS HUMANOS,PRIVADA,SERVICIOS,,,,,,
53,PREVISION INTEGRAL DE SERVICIOS FUNERALES,PLAZA SAN JERONIMO LOPEZ MATEOS 480-3,PARTIDO ROMERO,32030,6566298955,CELIA GRAJEDA,c.grajeda@grupoperches.com,ENCARGADO,PRIVADA,SERVICIOS,,,,,,
54,ALGODONES EL REFUGIO,CARRETERA JUAREZ PORVENIR,ESPERANZA,32780,6561569482,ARMANDO HERNANDEZ,N/A,DUEÑO,PRIVADA,COMERCIAL,,,,,,
55,CAROLINE,PAVO REAL 2907,GRANJAS DE CHAPULTEPEC,32677,6561793288,JAIME GARAY,N/A,DUEÑO,PRIVADA,COMERCIAL,,,,,,
56,TAQUERIA LA NUEMRO 4,FRANCISCO VILLARREAL TORRES,VALLE DEL SOL,32606,6563065735,MIGUEL ANGEL DIAZ,N/A,DIRECTOR ADMINISTRATIVO,PRIVADA,COMERCIAL,,,,,,
57,ABARROTES ROSY,FELIPE ANGELES 2640,DIVISION DEL NORTE ,32670,6565993284,ROSALBA HERNANDEZ,N/A,DUEÑA,PRIVADA,COMERCIAL,,,,,,
58,CENTRO ESPECIALIZADO EN ADICCIONES,PROFRA. ROSA MARIA CASAS 7511,INDEPENDENCIA II,32670,6567109573,MAURICIO ACOSTA,mauricioacosta@gmail.com,ENCARGADO,A.CIVIL,EDUCATIVO,,,,,,
59,CARL´S JR BORDER STAR DE MEXICO,BLVD. ZARAGOZA 6802,AEROPUERTO,32690,6566371262,SANDRA JOSEFINA PARADA CABALLERO,aeropuerto@borderstar.com.mx,GERENTE,PRIVADA,COMERCIAL,,,,,,
60,FARMACIA LA VICTORIA ,JILOTEPEC 7736,INFONAVIT AEROPUERTO,32698,6563416050,ALEJANDRO GONZALEZ PLAN,alejandro.glz@gmail.coms,ENCARGADO,PRIVADA,COMERCIAL,,,,,,
61,JARDIN DE NIÑOS 21 DE MARZO,R. NORZAGARAY 1150,OASIS REVOLUCION,32674,6566378703,VALERIA IDALI AGUIRRE AGUIRRE,jn21demarzo1372@gmail.com,DIRECTORA,PRIVADA,EDUCATIVO,,,,,,
62,WILLYS FRIED CHICKEN,16 DE SEPTIEMBRE S/N,CENTRO,32000,6565862242,JORGE ESTEBAN WILLY VILLA,N/A,JEFE ,PRIVADA,COMERCIAL,,,,,,
63,PARA INTERNACIONAL TONER Y TINTA Y TONER,AV. DE LA RAZAS 4948-2,LOS NOGALES,32350,6566131333,JOSE LUIS CAMACHO MACHADO,tinta1004@gmail.com,ENCARGADO,PRIVADA,COMERCIAL,,,,,,
64,EL PICANTE AMARILLO,MONTES URALES S/N,LOMAS DEL REY,32651,6563285115,LAEL YARASET BUENO CARDOZA,N/A,PROPIETARIO,PRIVADA,COMERCIAL,,,,,,
65,ROPER-MEX,ISHIKAWA 9711,TORIBIO ORTEGA ,32274,6566491000,MAYRA ALVIDREZ,N/A,SUPERVISOR,PRIVADA,INDUSTRIAL,,,,,,
66,ABARROTES CASA HERNANDEZ,PRIV. FRANCISCO SARABIA S/N,LADRILLEROS Y CALEROS,32150,6567578437,JOSEFINA HERNANDEZ,N/A,GERENTE,PRIVADA,COMERCIAL,,,,,,
67,COMPRA Y VENTA DE METALES,ETHEL CUERVO HUERTA 7418,INDEPENDENCIA II,32670,6567709404,SARAI BETANCOURT,51861498@gmail.com,SUPERVISOR,PRIVADA,COMERCIAL,,,,,,
68,RESUMA,PIEDRAS 608,CEMENTERA,32676,6568444197,JOSE CABALLERO,N/A,DUEÑO,PRIVADA,COMERCIAL,,,,,,
69,BACE MULTISERVICIO Y REFACCIONES,PASEO DE LAS LILAS S/N,FRACC. PASEO DE LAS LILAS,32674,6566386693,BERENICE DE LA CRUZ CRUZ,bacemultiservicios@gmail.com,JEFE,PRIVADA,COMERCIAL,,,,,,
70,SERVICIOS SWW,OSCAR FLORES 3651-2,PARTIDO IGLESIAS,32377,6561080116,ROBERTO PEREZ,rlara@subway_juarez.com,GERENTE,PRIVADA,COMERCIAL,,,,,,
71,MAQUINADOS OCCIDENTE,CORAL 6787,LIBERTAD,32290,6562849468,ALBERTO TRONCOSO,maquinadosoccidente@hotmail.com,SUPERVISOR,PRIVADA,COMERCIAL,,,,,,
72,BARRIGAS,BLVD. MANUEL GOMEZ MORIN 7814,CAMPESTRE,32460,6564273248,ISIDRO MARTINEZ OROZCO,isidromartinez@gbnnat.com,GERENTE,PRIVADA,COMERCIAL,,,,,,
73,ESCUELA PRIMARIA IGNACIO MANUEL ALTAMIRANO,MARMOL 460,LOMAS DE MORELOS,32670,6561308033,ERIKA MARISSA OBIE ACOSTA,erica.obie.acosta@nuevaescuela.mx,DIRECTORA,PUBLICA,EDUCATIVO,,,,,,
74,IGNIS PROTECTION,GUATEMALA 831 NTE,HIDALGO,32300,6566990054,RICARDO VALENZUELA MEJIA,ventas@ignisprotection.com,GERENTE OPERATIVO,PRIVADA,SERVICIOS,,,,,,
75,CRECIENDO CON AMOR,CAPITAN AGEO MENESES 1506,OASIS REVOLUCION,32674,6563065999,MARIA DE JESUS RUIZ LOYA,mruizloya@yahaoo.com,DIRECTORA,PRIVADA,EDUCATIVO,,,,,,
76,A&V CONSULTING GROUP,JOSE MA. VELAZCO 524,ALAMOS DE SAN LORENZO,32340,6566164347,OSCAR RENE VILLALOBOS ESCU,N/A,DUEÑO,PRIVADA,SERVICIOS,,,,,,
77,FDAF,PRIV. FRANCISCO VILLA 1119,DIVISION DEL NORTE ,32670,6564015384,MONICA FRANCO,N/A,GERENTE,PRIVADA,SERVICIOS,,,,,,
78,TALLER MECANICO MENY,GAVIOTA 3432,GRANJAS DE CHAPULTEPEC,32677,6561020738,JOSE MANUEL HUERTA MORENO,claudiahuerta319@yahoo.com,DUEÑO,PRIVADA,COMERCIAL,,,,,,
79,BISUARTEK,NOCHE TRISTE 152-A,CENTRO,32000,6561038595,MIGUEL SALAS,N/A,DUEÑO,PRIVADA,COMERCIAL,,,,,,
80,ESCUELA SECUNDARIA TECNICA 41,BATALLA DE PAREDON S/N,ENRIQUEZ GUZMAN,32670,6566311017,ALEJANDRA CARRASCO,perla_carrasco_enriquez@hotmail.com,TRABAJADORA SOCIAL,PUBLICA,EDUCATIVO,,,,,,
81,FARMACIA EL MARMOL,LUCHA Y ESFUERZO ,EL MARMOL,32675,6563848348,ALEJANDRO VENZOR RAMIREZ,alejadro_venzor1@outlook.com,JEFE,PRIVADA,COMERCIAL,,,,,,
82,ESCUELA PRIMARIA IGNACIO RAMOS PEÑA,TERCERA 1810 ,GRANJAS DE CHAPULTEPEC,32677,6562778258,HUGO GARDEA CANO,N/A,DIRECTOR,PUBLICA,EDUCATIVO,,,,,,
83,ABARROTES GISELL,FRANCISCO VILLA S/N,PRIMERO DE MAYO,32670,6568497762,LAURA SANCHEZ,janisaa79@gmail.com,DUEÑO,PRIVADA,COMERCIAL,,,,,,
84,PASTURAS RICHY,AV. DIVICION DEL NORTE 1520,ZAPATA,32230,6562556632,ROGELIO CASTILLO GALVAN,N/A,DUEÑO,PRIVADA,COMERCIAL,,,,,,
85,DISTRIBUIDORA AZTECA DEL NORTE SA.,EMILIANO PEREZ PAYAN 2827,INDEPENDENCIA II,32670,6566101023,YADIRA IVONNE ALVARADO,dan3508@prodigy.net.mx,RECURSOS HUMANOS,PRIVADA,COMERCIAL,,,,,,
86,INSUMOS Y SERVICIOS PARA LA INDUSTRIA,FCO.PORTILLO 60,LADRILLEROS Y CALEROS,32670,6564533218,GABRIELA LIZBETH CARRILLO,gabriela.inspi@gmail.com,DUEÑO,PRIVADA,COMERCIAL,,,,,,
88,MUEBLES MICHOACAN,BLVD. ZARAGOZA 141,1RO DE MAYO,32670,6568363321,CYNTHIA ASTRID RIVERA,N/A,DUEÑA,PRIVADA,COMERCIAL,,,,,,
89,FERRETERIA GREGO,FRANCISCO SARABIA 912,6 DE ENERO,32676,6564583231,BRENDA ROCIO GONZALEZ ORTEGA,bregoo710@gmail.com,DUEÑA,PRIVADA,COMERCIAL,,,,,,
90,INAUSO,HIGO 7118,GRANJERO,32690,6561501015,ALVARO CARREON,contacct@inauso.com,DUEÑO,PRIVADA,COMERCIAL,,,,,,
91,CIUDADANOS COMPROMETIDOS CON LA PAZ,PUERTO ALTAMIRA 1478,TIERRA NUEVA I,32599,6563179937,BRENDA ALMEDA ZAMORA,balmeda@ccompaz.com,COORDINADORA,A.CIVIL,SERVICIOS,,,,,,
92,GRUPO DENTAL INTEGRAL ,HERMANOS ESCOBAR S/N,PARTIDO ROMERO,32000,6567973576,DANIEL GONZALEZ FERNANDEZ,danielgonzalez@gmail.com,GERENTE,PRIVADA,COMERCIAL,,,,,,
93,SIM SERVICIOS MANUALIDAD,SINGAPUR 7430,OASIS REVOLUCION,32697,6566246555,JOSE LUIS VELAZQUEZ,N/A,JEFE,PRIVADA,COMERCIAL,,,,,,
94,TIENDA DE AUTO SERVICIO,TZETZALES 3451,AZTECAS,32680,6567537850,JOSE IGNACIO DURAN GONZALEZ,N/A,GERENTE,PRIVADA,COMERCIAL,,,,,,
95,CENTRO COMUNITARIO GALEANA,TLAPA S/N,GALEANA,32230,6566101844,MARIA CRISTINA CANO,N/A,DIRECTORA,A.CIVIL,EDUCATIVO,,,,,,
96,ABARROTES LA ESCONDIDA,PRIV. FRANCISCO VILLA 522,LADRILLEROS Y CALEROS,32670,6561711722,ISAIAS AGUIRRE LUNA,isaias_aguirreluna@hotmail.com,DUEÑO,PRIVADA,COMERCIAL,,,,,,
97,ENALTE DESARROLLOS,PASEO TRIUNFO DE LA REPUBLICA 2416+-13,PARTIDO ESCOBEDO ,32330,6564112555,YULI ANGELICA ORTIZ,yuriortizramos@gmail.com,RECURSOS HUMANOS,PRIVADA,COMERCIAL,,,,,,
98,OPTICA EXPRESS,MACLOVIO HERRERA 814-7,1RO DE MAYO,32670,6567426281,ARTURO RAMOS BAÑUELOS,N/A,OPTOMETRISTA,PRIVADA,COMERCIAL,,,,,,
99,AUTOTRANSPORTES RAUL GATES PALACIOS,PRIV. PINO SUAREZ 133,SANTA MARIA,32676,6562760682,VICTOR RAUL GATES PALACIOS,victor_raul@live.com.mx,DUEÑO,PRIVADA,COMERCIAL,,,,,,
100,PALLETS Y RECICABLES JUAREZ,IGNACIO ZARAGOZA 2419,MARGARITAS,32300,6568184685,JESUS FLORES,floresjulio663239@gmail,GERENTE,PRIVADA,COMERCIAL,,,,,,
101,TLAPALERIA LUCERO,AV. DE LOS AZTECAS ,GRANJAS DE CHAPULTEPEC,32679,6567649854,LUCERO SANTIAGO,N/A,GERENTE,PRIVADA,COMERCIAL,,,,,,
102,SERVICIO GONZALEZ,SANDINO 302,MEXICO 68,32640,6561766813,VICTOR MANUEL GONZALEZ,servicio_gonzalezvm@hotmail.com,ENCARGADO,PRIVADA,SERVICIOS,,,,,,
103,ALUXES Y TOLOACHES CAFÉ,SANDERS 447,ANAHUAC,32240,6565701226,ABIGAIL HERNANDEZ MADRID,N/A,DUEÑA,PRIVADA,COMERCIAL,,,,,,
104,OPTICA & DENTAL AMAYA,PUERTO PRINCIPE 2661-1,INDUSTRIAL,32270,6568917867,ORLANDO IVAN GALVAN GÓMEZ,ivann1984@outlook.com,DUEÑO,PRIVADA,COMERCIAL,,,,,,
105,LM CONSULTORIA Y CAPACITACION,IGNACIO ZARAGOZA 3125-12,MARGARITAS,32300,6561012201,LUIS LORENZO MEDINA MIRAMONTES,lui.medina.150894@gmail.com,DIRECTOR GENERAL,PRIVADA,SERVICIOS,,,,,,
106,ESCUELA PRIMARIA LUIS G. INCLAN,C. COALIN S/N,GRANJAS DE CHAPULTEPEC,32659,6563478127,KARLA JANETTE RUIZ JARA,karla.ruiz.jara@chih.nuevaescuela.mx,DIRECTORA,PUBLICA,EDUCATIVO,,,,,,
107,VETERINARIA ALYLO,OASIS DE NAPOLES 2211-2,PRADERA DE LOS OASIS II,32674,6566313265,MAYRA ESPINOZA HOLGUIN,mayraalylo@hotmail.com,DUEÑA,PRIVADA,COMERCIAL,,,,,,
108,BRP MEXICO S.A. DE C.V.,AV. DE LAS INDUSTRIAS 2250,PARQ. IND. ANTONIO J. BERMUDEZ,32470,6561276364,MARCOS VILLANUEVA S.,marcos.villanueva@brp.com,RECURSOS HUMANOS,PRIVADA,INDUSTRIAL,,,,,,
109,ESCUELA PRIMARIA JOSE REYES ESTRADA,OASIS DE SENEGAL 7919,PRADERA DE LOS OASIS ,32674,6566313359,CARLOS FAVELA ,escuelajosereyesestrada@hotmail.com,DIRECTOR,PUBLICA,EDUCATIVO,,,,,,
110,HOSPITAL STAR MEDICA,AV PASEO DE LA VICTORIA 4370,PARTIDO IGLESIAS,32618,6561267645,CESAR IVAN DIAZ NUÑEZ,cdin.58@gmail.com,DOCTOR,PRIVADA,SERVICIOS,,,,,,
111,CASTO BLOKY/O JOSE GUADALUPE GONZALEZ HERRERA,JOSE OJEDA 518,1RO DE SEPTIEMBRE,32676,6563793674,JOSE GPE GONZALEZ HERRERA,N/A,DIRECTOR,PRIVADA,COMERCIAL,,,,,,
112,ESCUELA PRIMARIA MOCTEZUMA,LUCHA Y ESFUERZO ,SAFARI,32675,6561247145,DORA YADIRA CONTRERAS RODRIGUEZ,N/A,DIRECTORA,PUBLICA,EDUCATIVO,,,,,,
113,SERVICIOS AUXILIARES DEL DESARROLLO S.A. DE C.V.,PEDRO ROSALES D ELEON 7855,FUENTES DEL VALLE,32500,6566239466,NANCI RUBI DE ANDA,N/A,SUPERVISOR,PRIVADA,SERVICIOS,,,,,,
114,INDUSTRIA DE TRABAJOS ELECTRICOS S.A. DE C.V.,AEROJUAREZ 7651,PARQ. IND. AEROJUAREZ,32696,6566374800,LUIS DANIEL RODRIGUEZ MARQUEZ,luis.rodriguez-manuel@siemens.com,RECURSOS HUMANOS,PRIVADA,INDUSTRIAL,,,,,,
115,MELISSA´S FLORAL BOUTIQUE,TECNOLOGICO 6251-14,AEROPUERTO,32680,6562491273,GABRIEL SAMANIEGO,saenzgisela17@gmail.com,JEFE,PRIVADA,COMERCIAL,,,,,,
116,SINDICATO DE TRABAJADORES (CTM),FRANCISCO BACA GALLARDO6755,LA CUESTA,32650,6569003725,ANTONIO MARRUFO,N/A,SRIO DE TRABAJO Y CONFLICTOS,A.CIVIL,SERVICIOS,,,,,,
117,DISTRIBUIDORAY/O ADRIAN GURROLA CALLEROS,COALOCHI 8507 ,ROMA,32695,6562069425,ADRIAN GURROLA CALLEROS,N/A,DUEÑO,PRIVADA,COMERCIAL,,,,,,
118,COMERCIALIZADORA S.A. C.V.,EJE VIAL JUAN GABRIEL 9851-15,EL MARMOL,32675,6561258950,MARIA GUADALUPE PÉREZ AVILEZ,guadalupita68@hotmail.com,DUEÑO,PRIVADA,COMERCIAL,,,,,,
119,INELRECO,ADELA VELARDE 7708,INDEPENDENCIA II,32670,6563253578,LAURA ISELA ESCOBAR,N/A,RECURSOS HUMANOS,PRIVADA,COMERCIAL,,,,,,
120,ABARROTES LA VECINA,AGEO MENESES 1015,OASIS REVOLUCION,32674,6568429481,FARIDES FABIOLA CRUZ FARIAS,N/A,DUEÑA,PRIVADA,COMERCIAL,,,,,,
121,BORDER PC,CARLOS AMAYA 4403 ,GALEANA,32230,6565110413,HERIBERTO CASTAÑEDA PEÑA,borderpc@gmail.com,PROPIETARIO,PRIVADA,COMERCIAL,,,,,,
122,JANETH NOHEMI URIBE ALMANZA,RIVERA HACIENDA 502,RIVERAS DEL BRAVO,32594,6567018719,JANETH URIBE,inva2014@gmail.com,DUEÑA,PRIVADA,COMERCIAL,,,,,,
123,ESCUELA PRIMARIA FRANCISCO VILLA,CHIHUAHUA 8860,DIVISION DEL NORTE ,32670,6565652645,ABIGAIL CAMPOS ARRIETA,abigail.campos.arr@chih.nuevaescuela.mx,DIRECTORA,PUBLICA,EDUCATIVO,,,,,,
124,ABARROTES BETTY,EL PRINCIPITO 1557,TIERRA NUEVA I,32599,6566033003,MARIO ESCALANTE,N/A,DUEÑO,PRIVADA,COMERCIAL,,,,,,
125,ESCUELA FORD 180 BARTOLOME DE LAS CASAS,AÑO 1659 No1123,FRAY GARCIA DE SAN FRANCISCO,32575,6563603974,MIRIAM SOLIS FACIO,N/A,DIRECTORA,PUBLICA,EDUCATIVO,,,,,,
